"投票日","自治体","地点","地点緯度","地点経度","投票数","鼻水","せき","のど","発熱","0から6才：投票数","0から6才：鼻水","0から6才：せき","0から6才：のど","0から6才：発熱","7から12才：投票数","7から12才：鼻水","7から12才：せき","7から12才：のど","7から12才：発熱","13から18才：投票数","13から18才：鼻水","13から18才：せき","13から18才：のど","13から18才：発熱","19から64才：投票数","19から64才：鼻水","19から64才：せき","19から64才：のど","19から64才：発熱","65才以上：投票数","65才以上：鼻水","65才以上：せき","65才以上：のど","65才以上：発熱"
"20161224","千葉県千葉市","千草台中学校周辺","35.6367970","140.1179230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","花見川第一中学校周辺","35.6894250","140.1011180","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","幸町第一中学校周辺","35.6204960","140.0895400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","土気中学校周辺","35.5413500","140.2725330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","千城台西中学校周辺","35.6215980","140.1846400","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","星久喜中学校周辺","35.6008450","140.1520510","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","こてはし台中学校周辺","35.6916870","140.1192200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","さつきが丘中学校周辺","35.6684730","140.0910730","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","高洲第一中学校周辺","35.6232450","140.0774410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","大宮中学校周辺","35.5863260","140.1867140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","草野中学校周辺","35.6524740","140.1274530","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","真砂中学校周辺","35.6451924","140.0631925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","幕張西中学校周辺","35.6635690","140.0373480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","都賀中学校周辺","35.6310220","140.1231010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","千城台南中学校周辺","35.6186880","140.1907740","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","高洲第二中学校周辺","35.6325620","140.0717470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","みつわ台中学校周辺","35.6353070","140.1311900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","緑が丘中学校周辺","35.6643240","140.1112120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","花見川第二中学校周辺","35.6827650","140.0878110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","天戸中学校周辺","35.6814480","140.0871130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","若松中学校周辺","35.6357950","140.1698460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","高浜中学校周辺","35.6237680","140.0708870","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","幸町第二中学校周辺","35.6125790","140.0980570","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","山王中学校周辺","35.6530510","140.1426730","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","稲浜中学校周辺","35.6327810","140.0818050","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20161224","千葉県千葉市","朝日ケ丘中学校周辺","35.6562610","140.0876760","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
